row_id,date,pred_date,ticker,pred_direction,true_direction,prediction_value
17,2021-06-09,2021-06-10,SPY,DOWN,DOWN,
18,2021-06-09,2021-06-10,NDX,DOWN,UP,
2,2021-06-07,2021-06-08,GME,UP,UP,
79,2021-06-18,2021-06-21,MDB,DOWN,DOWN,0.7114223
22,2021-06-10,2021-06-11,COST,DOWN,DOWN,
58,2021-06-16,2021-06-17,COST,DOWN,UP,
59,2021-06-16,2021-06-17,DAL,DOWN,DOWN,
6,2021-06-08,2021-06-09,GME,DOWN,UP,
3,2021-06-07,2021-06-08,MDB,UP,UP,
60,2021-06-16,2021-06-17,GME,DOWN,UP,
61,2021-06-16,2021-06-17,MDB,DOWN,UP,
12,2021-06-08,2021-06-09,FDX,DOWN,DOWN,
9,2021-06-08,2021-06-09,COST,DOWN,DOWN,
11,2021-06-08,2021-06-09,DAL,UP,UP,
5,2021-06-08,2021-06-09,MDB,DOWN,UP,
7,2021-06-08,2021-06-09,SPY,DOWN,UP,
8,2021-06-08,2021-06-09,NDX,DOWN,UP,
62,2021-06-16,2021-06-17,SPY,DOWN,DOWN,
21,2021-06-09,2021-06-10,FDX,DOWN,DOWN,
80,2021-06-18,2021-06-21,SPY,DOWN,UP,0.87323564
82,2021-06-18,2021-06-21,SQ,DOWN,DOWN,0.6554952
83,2021-06-18,2021-06-21,ZION,DOWN,UP,0.54551286
84,2021-06-18,2021-06-21,FDX,DOWN,UP,0.711959
13,2021-06-09,2021-06-10,COST,DOWN,UP,
14,2021-06-09,2021-06-10,DAL,DOWN,DOWN,
15,2021-06-09,2021-06-10,GME,DOWN,UP,
16,2021-06-09,2021-06-10,MDB,DOWN,UP,
63,2021-06-16,2021-06-17,NDX,DOWN,UP,
64,2021-06-16,2021-06-17,SQ,DOWN,UP,
65,2021-06-16,2021-06-17,ZION,DOWN,DOWN,
88,2021-06-21,2021-06-22,MDB,DOWN,UP,0.6905716061592102
89,2021-06-21,2021-06-22,SPY,DOWN,UP,0.8484569191932678
91,2021-06-21,2021-06-22,SQ,UP,UP,0.661946177482605
66,2021-06-16,2021-06-17,FDX,DOWN,DOWN,
67,2021-06-17,2021-06-18,COST,DOWN,DOWN,
68,2021-06-17,2021-06-18,DAL,DOWN,UP,
69,2021-06-17,2021-06-18,GME,DOWN,DOWN,
70,2021-06-17,2021-06-18,MDB,DOWN,UP,
71,2021-06-17,2021-06-18,SPY,DOWN,DOWN,
72,2021-06-17,2021-06-18,NDX,DOWN,DOWN,
73,2021-06-17,2021-06-18,SQ,DOWN,UP,
74,2021-06-17,2021-06-18,ZION,DOWN,DOWN,
75,2021-06-17,2021-06-18,FDX,DOWN,DOWN,
85,2021-06-21,2021-06-22,COST,DOWN,UP,0.7396044135093689
37,2021-06-11,2021-06-14,SQ,DOWN,UP,
28,2021-06-10,2021-06-11,SQ,DOWN,UP,
19,2021-06-09,2021-06-10,SQ,DOWN,UP,
4,2021-06-08,2021-06-09,SQ,DOWN,DOWN,
1,2021-06-07,2021-06-08,SQ,DOWN,DOWN,
86,2021-06-21,2021-06-22,DAL,UP,DOWN,0.18727296590805054
92,2021-06-21,2021-06-22,ZION,UP,UP,0.5514418482780457
40,2021-06-14,2021-06-15,COST,DOWN,UP,
41,2021-06-14,2021-06-15,DAL,DOWN,DOWN,
42,2021-06-14,2021-06-15,GME,DOWN,DOWN,
34,2021-06-11,2021-06-14,MDB,DOWN,UP,
35,2021-06-11,2021-06-14,SPY,DOWN,UP,
93,2021-06-21,2021-06-22,FDX,DOWN,UP,0.7002813816070557
87,2021-06-21,2021-06-22,GME,UP,DOWN,0.0416150838136673
90,2021-06-21,2021-06-22,NDX,DOWN,UP,0.807182788848877
27,2021-06-10,2021-06-11,NDX,DOWN,UP,
46,2021-06-14,2021-06-15,SQ,DOWN,DOWN,
76,2021-06-18,2021-06-21,COST,DOWN,UP,0.7649665
77,2021-06-18,2021-06-21,DAL,DOWN,UP,0.18585274
78,2021-06-18,2021-06-21,GME,DOWN,DOWN,0.02960134
56,2021-06-15,2021-06-16,ZION,DOWN,UP,
57,2021-06-15,2021-06-16,FDX,DOWN,DOWN,
32,2021-06-11,2021-06-14,DAL,DOWN,DOWN,
33,2021-06-11,2021-06-14,GME,DOWN,DOWN,
47,2021-06-14,2021-06-15,ZION,DOWN,UP,
48,2021-06-14,2021-06-15,FDX,DOWN,UP,
31,2021-06-11,2021-06-14,COST,DOWN,UP,
23,2021-06-10,2021-06-11,DAL,DOWN,UP,
24,2021-06-10,2021-06-11,GME,DOWN,UP,
25,2021-06-10,2021-06-11,MDB,DOWN,UP,
26,2021-06-10,2021-06-11,SPY,DOWN,UP,
38,2021-06-11,2021-06-14,ZION,DOWN,DOWN,
29,2021-06-10,2021-06-11,ZION,DOWN,UP,
39,2021-06-11,2021-06-14,FDX,DOWN,DOWN,
81,2021-06-18,2021-06-21,NDX,DOWN,UP,0.83831286
94,2021-06-22,2021-06-23,COST,UP,DOWN,0.7574502229690552
95,2021-06-22,2021-06-23,DAL,DOWN,DOWN,0.18279719352722168
96,2021-06-22,2021-06-23,GME,UP,DOWN,0.09559457004070282
97,2021-06-22,2021-06-23,MDB,DOWN,UP,0.6839811205863953
20,2021-06-09,2021-06-10,ZION,DOWN,DOWN,
30,2021-06-10,2021-06-11,FDX,DOWN,UP,
98,2021-06-22,2021-06-23,SPY,UP,DOWN,0.862420916557312
99,2021-06-22,2021-06-23,NDX,UP,UP,0.8140347003936768
100,2021-06-22,2021-06-23,SQ,DOWN,UP,0.6540566682815552
101,2021-06-22,2021-06-23,ZION,UP,UP,0.5884937644004822
52,2021-06-15,2021-06-16,MDB,DOWN,UP,
53,2021-06-15,2021-06-16,SPY,DOWN,DOWN,
54,2021-06-15,2021-06-16,NDX,DOWN,DOWN,
102,2021-06-22,2021-06-23,FDX,DOWN,DOWN,0.3194040358066559
10,2021-06-08,2021-06-09,ZION,DOWN,DOWN,
49,2021-06-15,2021-06-16,COST,DOWN,DOWN,
50,2021-06-15,2021-06-16,DAL,DOWN,DOWN,
51,2021-06-15,2021-06-16,GME,DOWN,UP,
43,2021-06-14,2021-06-15,MDB,DOWN,DOWN,
44,2021-06-14,2021-06-15,SPY,DOWN,DOWN,
45,2021-06-14,2021-06-15,NDX,DOWN,DOWN,
55,2021-06-15,2021-06-16,SQ,DOWN,DOWN,
36,2021-06-11,2021-06-14,NDX,DOWN,UP,
103,2021-06-23,2021-06-24,COST,UP,UP,0.7663443088531494
104,2021-06-23,2021-06-24,DAL,DOWN,DOWN,0.17331460118293762
105,2021-06-23,2021-06-24,GME,UP,DOWN,0.0993126779794693
106,2021-06-23,2021-06-24,MDB,UP,DOWN,0.6978399157524109
107,2021-06-23,2021-06-24,SPY,UP,UP,0.8692286610603333
109,2021-06-23,2021-06-24,SQ,UP,UP,0.6991441249847412
110,2021-06-23,2021-06-24,ZION,UP,UP,0.60589200258255
111,2021-06-23,2021-06-24,FDX,UP,UP,0.7342292666435242
108,2021-06-23,2021-06-24,NDX,UP,UP,0.8204730749130249
113,2021-06-24,2021-06-25,DAL,DOWN,DOWN,0.1637723743915558
115,2021-06-24,2021-06-25,MDB,DOWN,DOWN,0.6969847679138184
116,2021-06-24,2021-06-25,SPY,UP,UP,0.8746826648712158
118,2021-06-24,2021-06-25,SQ,UP,DOWN,0.7406740784645081
119,2021-06-24,2021-06-25,ZION,UP,UP,0.6265614032745361
